leeksLazyLogger v1.1.9 by Eartharoid (github.com/eartharoid/leeksLazyLogger) | Log File (16/11/19 08:41:46) -->
[08:41:46 | INFO] Starting up...
[08:41:47 | INFO] Initialising bot...
[08:41:47 | INFO] > Loading '!add' command
[08:41:47 | INFO] > Loading '!close' command
[08:41:47 | INFO] > Loading '!help' command
[08:41:47 | INFO] > Loading '!new' command
[08:41:47 | INFO] > Loading '!ping' command
[08:41:47 | INFO] > Loading '!remove' command
[08:41:47 | INFO] Connected to Discord API
[08:41:47 | INFO] Logged in as ThinSupport#0467
